Godina;Saziv;Od;Do;Stranka;Osoba;Prezime i ime;Ukupno;Dnevnica;Auto;Cestarina;Avion;Javni;Hotel;Stanarina;Režije;Odv.život;Služ.stan;Ostalo
2021;X;01.01.2021;21.12.2021;HDZ;20;BLAŽEVIĆ ANAMARIJA;59.412,67;;15.360,00;2.396,00;;;;29.975,99;2.680,68;9.000,00;;
2021;X;01.01.2021;21.12.2021;HDZ;21;BORIĆ JOSIP;85.379,35;;32.688,00;4.400,00;;4.037,00;;29.975,99;5.278,36;9.000,00;;
2021;X;01.01.2021;21.12.2021;HDZ;22;BOŠNJAKOVIĆ DRAŽEN;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;23;BRKAN JURE;92.728,38;901,63;29.066,00;4.602,00;15.386,25;;1.492,04;29.704,07;2.158,16;8.903,23;;515,00
2021;X;01.01.2021;21.12.2021;NZ;24;BRUMNIĆ ZVANE;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;25;BUDALIĆ IVAN;63.544,00;;34.656,00;7.408,00;;;;;;9.000,00;12.480,00;
2021;X;01.01.2021;21.12.2021;Most;26;BULJ MIRO;87.312,93;;40.900,00;6.034,00;;;;29.726,51;1.652,42;9.000,00;;
2021;X;25.06.2021;21.12.2021;HDZ;27;BURIĆ MAJDA;27.294,02;;7.972,00;738,00;;;;14.170,47;1.213,55;3.200,00;;
2021;X;01.01.2021;24.06.2021;HDZ;27.a;MILOŠEVIĆ DOMAGOJ IVAN;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;28;BUŠIĆ ZDRAVKA;45.015,87;9.640,84;;;18.186,25;;16.688,78;;;;;500,00
2021;X;01.01.2021;21.12.2021;HDZ;29;CAPPELLI GARI;77.326,99;;31.080,00;3.886,00;;3.885,00;;29.975,99;;8.500,00;;
2021;X;01.01.2021;21.12.2021;HDZ;30;ČIČAK MATO;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;31;ĆELIĆ IVAN;36.160,08;4.437,16;;;14.972,00;;15.610,13;;;;;1.140,79
2021;X;01.01.2021;21.12.2021;HDZ;32;ĆOSIĆ PERO;28.316,00;;16.128,00;3.188,00;;;;;;9.000,00;;
2021;X;18.06.2021;21.12.2021;IDS;33;DAUS EMIL;34.710,38;;13.018,00;2.913,72;;;;14.533,81;911,52;3.333,33;;
2021;X;01.01.2021;09.06.2021;IDS;33.a;DEMETLIKA TULIO;41.292,04;;16.056,00;3.302,94;;;;14.311,96;2.321,14;5.300,00;;
2021;X;01.01.2021;21.12.2021;HDZ;34;DEUR ANTE;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDS;35;DODIG GORAN;42.642,00;;34.960,00;7.682,00;;;;;;;;
2021;X;01.01.2021;21.12.2021;Domovinski pokret;36;DRETAR DAVOR;0,00;;;;;;;;;;;
2021;X;18.06.2021;21.12.2021;HDZ;37;DREVEN BUDINSKI NADICA;13.625,45;;;;;;;13.625,45;;;;
2021;X;01.01.2021;03.06.2021;HDZ;37.a;STRIČAK ANĐELKO;11.583,00;;10.101,00;1.482,00;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;38;ĐAKIĆ JOSIP;61.235,38;75,00;20.352,00;;;;;29.975,99;1.865,72;8.966,67;;
2021;X;01.01.2021;21.12.2021;NZ;39;FABIJANIĆ ERIK;70.744,27;;22.960,00;4.736,00;;;;29.975,99;4.072,28;9.000,00;;
2021;X;01.01.2021;21.12.2021;HDZ;40;FRANKOVIĆ MATO;66.625,24;;2.376,00;462,00;24.811,25;;;29.975,99;;9.000,00;;
2021;X;01.01.2021;21.12.2021;NZ;41;GLAMUZINA KATICA;112.408,43;467,36;61.200,00;8.513,00;;;889,18;29.975,99;2.429,57;8.933,33;;
2021;X;01.01.2021;21.12.2021;SDP;42;GLASOVAC SABINA;64.808,96;4.723,19;;;8.520,00;;7.910,97;29.975,99;4.463,81;8.700,00;;515,00
2021;X;01.01.2021;21.12.2021;NZ;43;GLAVAŠEVIĆ BOJAN;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;44;GRBA-BUJEVIĆ MAJA;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;SDP;45;GRBIN PEĐA;67.704,22;;18.714,00;4.405,00;;;;29.975,99;5.609,23;9.000,00;;
2021;X;01.01.2021;21.12.2021;SDP;46;GRČIĆ BRANKO;107.609,78;;55.352,00;10.187,00;;;;29.907,57;3.163,21;9.000,00;;
2021;X;01.01.2021;21.12.2021;NZ;47;GRGIĆ VINKO;4.236,00;;3.504,00;732,00;;;;;;;;
2021;X;01.01.2021;21.12.2021;Most;48;GRMOJA NIKOLA;57.101,97;;32.640,00;7.256,00;;;;;3.405,97;;13.800,00;
2021;X;01.01.2021;21.12.2021;HDZ;49;HABIJAN DAMIR;26.632,00;;23.396,00;3.236,00;;;;;;;;
2021;X;01.01.2021;21.12.2021;SDP;50;HAJDAŠ DONČIĆ SINIŠA;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;NZ;51;HAJDUKOVIĆ DOMAGOJ;136.970,62;9.978,13;37.660,00;8.026,00;20.888,25;1.681,50;17.622,59;29.975,99;2.344,94;8.403,22;;390,00
2021;X;01.01.2021;21.12.2021;Blok;52;HASANBEGOVIĆ ZLATKO;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HSLS;53;HREBAK DARIO;9.315,22;1.576,01;;;5.640,00;;2.099,21;;;;;
2021;X;01.01.2021;21.12.2021;HSU;54;HRELJA SILVANO;99.094,65;;43.460,00;11.170,00;;;;29.839,37;5.625,28;9.000,00;;
2021;X;01.01.2021;21.12.2021;HDZ;55;IVANOVIĆ GORAN;70.194,18;263,00;41.472,00;7.800,00;;;;;2.168,64;8.950,54;9.540,00;
2021;X;01.01.2021;21.12.2021;SDP;56;JAKŠIĆ MIŠEL;51.512,35;300,00;12.436,00;271,00;;;;29.569,87;;8.935,48;;
2021;X;01.01.2021;21.12.2021;HDZ;57;JANDROKOVIĆ GORDAN;17.160,90;1.048,80;;;;;16.112,10;;;;;
2021;X;01.01.2021;21.12.2021;NZ;58;JANKOVICS ROBERT;90.372,35;;41.720,00;7.381,09;;;;29.975,99;2.295,27;9.000,00;;
2021;X;01.01.2021;21.12.2021;SDSS;59;JECKOV DRAGANA;98.247,65;;44.992,00;8.930,00;;;;29.975,99;5.349,66;9.000,00;;
2021;X;01.01.2021;21.12.2021;HDZ;60;JELKOVAC MARIJA;52.042,69;;7.700,00;1.330,00;;;;29.975,99;4.036,70;9.000,00;;
2021;X;01.01.2021;21.12.2021;HDZ;61;JENKAČ SINIŠA;43.098,72;563,00;;;;;526,00;29.726,51;3.332,67;8.950,54;;
2021;X;01.01.2021;21.12.2021;HDZ;62;JURIČEV-MARTINČEV BRANKA;97.916,27;;46.480,00;9.967,00;;;;29.975,99;2.493,28;9.000,00;;
2021;X;01.01.2021;21.12.2021;NZ;63;KAJTAZI VELJKO;225,00;225,00;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;64;KAPULICA MARIO;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;65;KARLIĆ MLADEN;89.374,40;;39.180,00;8.192,00;;;;29.975,99;3.026,41;9.000,00;;
2021;X;01.01.2021;21.12.2021;HDZ;66;KATIČIĆ KRUNOSLAV;0,00;;;;;;;;;;;
2021;X;15.09.2021;21.12.2021;NL;67;KEKIN IVANA;0,00;;;;;;;;;;;
2021;X;01.01.2021;14.09.2021;NL;67.a;BORIĆ RADA;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;68;KIRIN IVAN;71.703,52;;25.900,00;4.206,00;;;;29.975,99;2.621,53;9.000,00;;
2021;X;01.01.2021;21.12.2021;HDZ;69;KLARIĆ TOMISLAV;43.014,22;;1.656,00;275,00;;;;29.839,37;2.243,85;9.000,00;;
2021;X;01.01.2021;21.12.2021;HSLS;70;KLASIĆ DARKO;426,00;;370,00;56,00;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;71;KLIMAN ANTON;79.917,32;;32.128,00;6.775,50;;;;29.975,99;2.037,83;9.000,00;;
2021;X;01.01.2021;21.12.2021;HDZ;72;KOLAREK LJUBOMIR;38.962,60;263,00;;;;;;29.749,06;;8.950,54;;
2021;X;01.01.2021;21.12.2021;SDP;73;KOVAČ STJEPAN;11.064,51;;;;;;;8.064,51;;3.000,00;;
2021;X;15.09.2021;21.12.2021;HDZ;74;KRSTULOVIĆ OPARA ANDRO;34.565,19;;19.724,00;4.325,00;;;656,00;6.856,49;503,70;2.500,00;;
2021;X;01.01.2021;14.09.2021;HDZ;74.a;BARIČEVIĆ DANICA;70.624,16;;28.182,00;5.945,00;;2.685,00;;23.072,43;4.239,73;6.500,00;;
2021;X;01.01.2021;21.12.2021;Most;75;KUJUNDŽIĆ ANTE;88.447,54;;65.134,00;11.175,00;;;;;1.614,67;983,87;9.540,00;
2021;X;01.01.2021;21.12.2021;N/A;76;KUZMANIĆ MATKO;112.249,66;;57.276,00;12.485,00;;;;29.975,99;3.512,67;9.000,00;;
2021;X;01.01.2021;21.12.2021;SDP;77;LALOVAC BORIS;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;NZ;78;LEKAJ PRLJASKAJ ERMINA;72.789,50;1.052,26;32.448,00;515,00;;;;29.907,57;;8.866,67;;
2021;X;01.01.2021;21.12.2021;HSS;79;LENART ŽELJKO;58.966,65;562,73;11.760,00;2.122,00;;;526,00;29.839,37;5.056,55;8.950,00;;150,00
2021;X;01.01.2021;21.12.2021;IDS;80;LEROTIĆ MARIN;86.702,79;;37.400,00;8.359,50;;;;29.508,66;2.434,63;9.000,00;;
2021;X;01.01.2021;21.12.2021;HDZ;81;LUKAČIĆ LJUBICA;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;82;MAKSIMČUK LJUBICA;78.689,50;467,36;29.032,00;6.068,00;;;889,18;29.726,51;3.573,12;8.933,33;;
2021;X;01.01.2021;21.12.2021;HDZ;83;MANDARIĆ MARIN;81.613,08;;33.600,00;5.029,00;;;;29.975,99;4.008,09;9.000,00;;
2021;X;01.01.2021;21.12.2021;SDP;84;MARIĆ ANDREJA;55.767,88;;12.772,00;2.224,00;;;;29.794,16;1.977,72;9.000,00;;
2021;X;01.01.2021;21.12.2021;Reformisti;85;MARTINČEVIĆ NATALIJA;31.771,94;3.381,54;10.560,00;1.680,00;9.220,00;;6.530,40;;;;;400,00
2021;X;01.01.2021;21.12.2021;Možemo!;86;MATULA VILIM;1.088,69;562,69;;;;;526,00;;;;;
2021;X;21.01.2021;21.12.2021;HDZ;87;MAŽAR NIKOLA;47.208,57;;22.056,00;4.444,00;;;;;;7.178,57;13.530,00;
2021;X;01.01.2021;20.01.2021;HDZ;87.a;PULJAŠIĆ DARKO;3.052,46;;;;;;;1.743,49;615,42;693,55;;
2021;X;01.01.2021;21.12.2021;Hrvatski suverenisti;88;MILANOVIĆ LITRE MARKO;9.603,57;901,59;;;6.180,00;;1.491,98;;;;;1.030,00
2021;X;01.01.2021;21.12.2021;Most;89;MILETIĆ MARIN;24.858,07;;3.816,00;840,00;;;;;1.662,07;9.000,00;9.540,00;
2021;X;01.01.2021;21.12.2021;Domovinski pokret;90;MLINARIĆ STIPO;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;GLAS;91;MRAK-TARITAŠ ANKA;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;92;MURGANIĆ NADA;20.981,27;;;;;;;;2.441,27;9.000,00;9.540,00;
2021;X;01.01.2021;21.12.2021;NZ;93;NAĐ VESNA;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;IDS;94;NEMET KATARINA;84.091,69;;35.296,00;6.133,80;;;;29.817,23;3.844,66;9.000,00;;
2021;X;01.01.2021;21.12.2021;NZ;95;NIKOLIĆ ROMANA;84.594,95;;37.448,00;7.435,00;;;;29.726,51;985,44;9.000,00;;
2021;X;01.01.2021;21.12.2021;HDZ;96;OKROŠA TOMISLAV;23.172,00;;23.172,00;;;;;;;;;
2021;X;01.01.2021;21.12.2021;NZ;97;OPAČAK BILIĆ MARINA;49.553,16;;24.920,00;3.944,00;;;;16.202,22;486,94;4.000,00;;
2021;X;01.01.2021;21.12.2021;SsIP;98;OREŠKOVIĆ DALIJA;0,00;;;;;;;;;;;
2021;X;18.05.2021;21.12.2021;NZ;99;OSTOJIĆ RAJKO;0,00;;;;;;;;;;;
2021;X;01.01.2021;17.05.2021;SDP;99.a;PRICA DOMAGOJ;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;100;PAVIĆ MARKO;65.249,11;9.116,76;9.226,00;1.705,00;20.655,25;5.356,73;17.782,71;;;;;1.406,66
2021;X;01.01.2021;21.12.2021;NZ;101;PAVIĆ ŽELJKO;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;Hrvatski suverenisti;102;PAVLIČEK MARIJAN;84.082,62;;34.688,00;6.630,00;;;;29.749,19;3.895,43;9.000,00;;120,00
2021;X;01.01.2021;21.12.2021;Domovinski pokret;103;PENAVA IVAN;56.133,55;;10.620,00;2.103,00;;;;29.907,57;4.502,98;9.000,00;;
2021;X;01.01.2021;21.12.2021;RF;104;PEOVIĆ KATARINA;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;105;PERIĆ GROZDANA;87.455,78;;36.864,00;7.438,00;;;;29.975,99;4.177,79;9.000,00;;
2021;X;01.01.2021;21.12.2021;NZ;106;PETIR MARIJANA;39.534,12;937,26;28.194,00;3.187,00;2.470,00;;4.146,84;;;;;599,02
2021;X;01.01.2021;21.12.2021;Most;107;PETROV BOŽO;115.757,81;;75.312,00;16.655,00;;;;;990,81;9.000,00;13.800,00;
2021;X;18.06.2021;21.12.2021;HDZ;108;PILETIĆ MARIN;0,00;;;;;;;;;;;
2021;X;01.01.2021;07.06.2021;HDZ;108.a;CELJAK IVAN;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;109;POCRNIĆ-RADOŠEVIĆ ANITA;56.537,37;75,00;29.810,00;2.892,00;;;;4.087,64;2.426,54;8.983,87;8.262,32;
2021;X;01.01.2021;21.12.2021;NZ;110;POSAVEC KRIVEC IVANA;31.738,03;1.124,03;23.213,00;2.729,00;4.672,00;;;;;;;
2021;X;01.01.2021;21.12.2021;Domovinski pokret;111;PRKAČIN ANTE;74.503,24;;28.008,00;4.920,00;5.640,00;;684,34;27.250,90;;8.000,00;;
2021;X;01.01.2021;21.12.2021;Centar;112;PULJAK MARIJANA;44.730,75;;3.256,00;724,00;28.241,25;3.509,50;;;;9.000,00;;
2021;X;01.01.2021;21.12.2021;SDSS;113;PUPOVAC MILORAD;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;114;RADIĆ IVAN;53.343,42;;28.100,00;6.100,00;;;;1.758,12;948,20;9.000,00;7.437,10;
2021;X;01.01.2021;21.12.2021;NZ;115;RADIN FURIO;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;SDP;116;RADOLOVIĆ SANJA;41.160,12;;16.960,00;2.891,23;;;;;2.768,89;9.000,00;9.540,00;
2021;X;01.01.2021;21.12.2021;NZ;117;RASPUDIĆ NINO;0,00;;;;;;;;;;;
2021;X;18.06.2021;21.12.2021;Možemo!;118;RAUKAR-GAMULIN URŠA;0,00;;;;;;;;;;;
2021;X;01.01.2021;03.06.2021;Možemo!;118.a;TOMAŠEVIĆ TOMISLAV;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;119;REINER ŽELJKO;2.476,54;467,36;;;;;2.009,18;;;;;
2021;X;01.01.2021;21.12.2021;NZ;120;SABLJAR-DRAČEVAC RENATA;83.710,62;750,00;32.772,00;6.473,00;;;;29.975,99;4.900,92;8.838,71;;
2021;X;01.01.2021;21.12.2021;Hrvatski suverenisti;121;SAČIĆ ŽELJKO;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;122;SANADER ANTE;103.484,63;;49.280,00;10.521,00;;;;29.975,99;4.707,64;9.000,00;;
2021;X;01.01.2021;21.12.2021;NZ;123;SELAK RASPUDIĆ MARIJA;4.446,79;449,48;;;2.620,00;;599,31;;;;;778,00
2021;X;01.01.2021;21.12.2021;HDZ;124;SOBOTA DARKO;30.563,53;1.315,53;24.200,00;;5.048,00;;;;;;;
2021;X;01.01.2021;21.12.2021;Domovinski pokret;125;SPAJIĆ DANIEL;71.615,99;;32.640,00;;;;;29.975,99;;9.000,00;;
2021;X;01.01.2021;21.12.2021;HDZ;126;STIER DAVOR IVO;56.569,22;12.170,98;3.602,00;243,96;23.522,00;;16.361,16;;;;;669,12
2021;X;01.01.2021;21.12.2021;HDZ;127;ŠARIĆ JOSIP;82.570,42;;34.224,00;7.427,00;;;;29.975,99;1.943,43;9.000,00;;
2021;X;01.01.2021;21.12.2021;HDZ;128;ŠAŠLIN STIPAN;91.524,96;563,00;42.032,00;8.025,00;;;526,00;29.955,29;1.473,13;8.950,54;;
2021;X;01.01.2021;21.12.2021;HDZ;129;ŠIMIČEVIĆ RADE;76.930,99;;31.350,00;6.605,00;;;;29.975,99;;9.000,00;;
2021;X;01.01.2021;21.12.2021;HDZ;130;ŠIMIĆ HRVOJE;82.888,10;1.494,75;29.376,00;4.435,00;4.615,00;;3.608,75;29.975,99;;8.850,00;;532,61
2021;X;01.01.2021;21.12.2021;SDSS;131;ŠIMPRAGA ANJA;92.625,07;;41.580,00;6.591,00;;;;29.704,07;5.750,00;9.000,00;;
2021;X;01.01.2021;21.12.2021;NZ;132;ŠIMUNIĆ IRENA;50.221,34;;6.384,00;558,00;;;;29.862,14;4.417,20;9.000,00;;
2021;X;01.01.2021;21.12.2021;NZ;133;ŠKORO MIROSLAV;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HNS;134;ŠTROMAR PREDRAG;26.559,00;;24.232,00;2.327,00;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;135;TOTGERGELI MIRO;21.460,00;;21.460,00;;;;;;;;;
2021;X;01.01.2021;21.12.2021;Most;136;TROSKOT ZVONIMIR;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;137;TUŠEK ŽARKO;25.096,00;;23.019,00;2.077,00;;;;;;;;
2021;X;01.01.2021;21.12.2021;N/A;138;UDOVIĆ SANJA;64.502,24;;18.592,00;3.770,12;;;;29.975,99;3.164,13;9.000,00;;
2021;X;01.01.2021;21.12.2021;NZ;139;VIDOVIĆ DAVORKO;19.276,00;;19.096,00;180,00;;;;;;;;
2021;X;01.01.2021;21.12.2021;NZ;140;VIDOVIĆ FRANKO;103.766,40;;49.876,00;11.178,00;;;;29.975,99;3.736,41;9.000,00;;
2021;X;01.01.2021;21.12.2021;NZ;141;VIDOVIĆ KRIŠTO KAROLINA;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;HDZ;142;VIDOVIĆ RADOJE;104.660,78;;56.644,00;5.843,72;;;;29.651,43;3.521,63;9.000,00;;
2021;X;01.01.2021;21.12.2021;SDP;143;VLAŠIĆ ILJKIĆ MARTINA;70.477,15;;24.360,00;4.190,00;;;;29.975,99;2.951,16;9.000,00;;
2021;X;01.01.2021;21.12.2021;NZ;144;VRKLJAN MILAN;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;Hrvatski suverenisti;145;VUČEMILOVIĆ VESNA;75.193,88;;28.928,00;4.585,00;;;;29.794,16;2.836,72;9.000,00;;50,00
2021;X;01.01.2021;21.12.2021;NZ;146;VUKAS NIKŠA;0,00;;;;;;;;;;;
2021;X;01.01.2021;21.12.2021;NZ;147;VUKOVAC RUŽICA;57.572,52;2.135,63;30.736,00;5.923,00;3.396,00;3.363,00;2.778,35;;;8.850,54;;390,00
2021;X;01.01.2021;21.12.2021;NZ;148;ZEKANOVIĆ HRVOJE;107.363,66;;54.376,00;12.108,00;;;;29.447,09;2.432,57;9.000,00;;
2021;X;01.01.2021;21.12.2021;HDZ;149;ZMAIĆ ANKICA;62.680,09;;35.372,00;6.538,00;;;;;2.342,99;8.887,10;9.540,00;
2021;X;01.01.2021;21.12.2021;HDZ;150;ZULIM VINKO;90.467,99;;42.560,00;8.932,00;;;;29.975,99;;9.000,00;;
2021;X;09.06.2021;21.12.2021;Fokus;151;ZUROVEC DARIO;0,00;;;;;;;;;;;
2021;X;01.01.2021;09.06.2021;Fokus;151.a;NAĐI DAVOR;0,00;;;;;;;;;;;
2020;X;22.07.2020;18.12.2020;HDZ;1;AČKAR KREŠIMIR;0,00;;;;;;;;;;;
2020;X;22.07.2020;18.12.2020;SDP;2;AHMETOVIĆ MIRELA;24.822,63;;8.216,00;1.613,00;;;;11.995,42;464,88;2.533,33;;
2020;X;22.07.2020;18.12.2020;SDP;3;ANTOLIĆ VUPORA BARBARA;21.810,01;;5.288,00;616,00;;;1.074,00;11.483,62;815,06;2.533,33;;
2020;X;22.07.2020;18.12.2020;HDZ;4;BAČIĆ ANTE;28.130,27;;9.696,00;2.130,00;;;;11.928,72;1.842,22;2.533,33;;
2020;X;22.07.2020;18.12.2020;HDZ;5;BAČIĆ BRANKO;23.634,00;;18.180,00;3.621,00;;1.833,00;;;;;;
2020;X;22.07.2020;18.12.2020;Možemo!;6;BAKIĆ DAMIR;0,00;;;;;;;;;;;
2020;X;22.07.2020;18.12.2020;HDZ;7;BALIĆ MARIJANA;8.113,00;;7.032,00;1.081,00;;;;;;;;
2020;X;22.07.2020;18.12.2020;SDP;8;BAN VLAHEK BOŠKA;23.759,79;;5.556,00;756,00;;;2.685,00;11.100,24;1.129,22;2.533,33;;
2020;X;22.07.2020;18.12.2020;HDZ;9;BARADIĆ NIKOLINA;28.591,33;;13.552,00;2.809,00;;;3.759,00;5.550,12;387,88;2.533,33;;
2020;X;22.07.2020;18.12.2020;HDZ;10;BARBARIĆ NEVENKO;49.042,11;;29.508,00;6.665,00;;;2.148,00;8.187,78;;2.533,33;;
2020;X;22.07.2020;18.12.2020;HDZ;11;BARIČEVIĆ DANICA;37.708,51;;16.226,00;3.386,00;;1.385,00;906,00;11.816,38;1.455,80;2.533,33;;
2020;X;22.07.2020;18.12.2020;Domovinski pokret;12;BARTULICA STEPHEN NIKOLA;0,00;;;;;;;;;;;
2020;X;22.07.2020;18.12.2020;SDP;13;BAUK ARSEN;22.131,88;;5.058,00;1.086,00;1.640,00;750,00;;11.995,42;1.602,46;;;
2020;X;22.07.2020;18.12.2020;HDZ;14;BEDEKOVIĆ VESNA;13.969,33;;8.256,00;;;;;;;2.533,33;3.180,00;
2020;X;22.07.2020;18.12.2020;HDZ;15;BEGONJA JOSIP;33.823,33;;21.420,00;3.468,00;;;3.222,00;;;2.533,33;3.180,00;
2020;X;22.07.2020;18.12.2020;HSS;16;BELJAK KREŠO;0,00;;;;;;;;;;;
2020;X;22.07.2020;18.12.2020;Možemo!;17;BENČIĆ SANDRA;0,00;;;;;;;;;;;
2020;X;22.07.2020;18.12.2020;NZ;18;BERNARDIĆ DAVOR;0,00;;;;;;;;;;;
2020;X;22.07.2020;18.12.2020;NZ;19;BILEK VLADIMIR;20.986,73;;5.500,00;576,49;;;;11.836,16;152,26;2.533,33;;388,49
2020;X;22.07.2020;18.12.2020;HDZ;20;BLAŽEVIĆ ANAMARIJA;24.602,99;;7.686,00;1.156,00;;;1.611,00;11.279,28;337,38;2.533,33;;
2020;X;22.07.2020;18.12.2020;HDZ;21;BORIĆ JOSIP;32.879,44;;14.074,00;1.910,00;;1.705,00;;11.995,42;661,69;2.533,33;;
2020;X;22.07.2020;18.12.2020;NL;22;BORIĆ RADA;0,00;;;;;;;;;;;
2020;X;22.07.2020;18.12.2020;HDZ;23;BOŠNJAKOVIĆ DRAŽEN;0,00;;;;;;;;;;;
2020;X;22.07.2020;18.12.2020;HDZ;24;BRKAN JURE;31.792,08;;9.060,00;2.040,00;2.360,00;;3.759,00;11.038,52;1.001,23;2.533,33;;
2020;X;22.07.2020;18.12.2020;NZ;25;BRUMNIĆ ZVANE;0,00;;;;;;;;;;;
2020;X;22.07.2020;18.12.2020;HDZ;26;BUDALIĆ IVAN;35.756,94;;22.800,00;4.853,00;;;3.759,00;;;2.533,33;1.811,61;
2020;X;22.07.2020;18.12.2020;Most;27;BULJ MIRO;42.471,98;;24.540,00;3.322,00;;;;11.873,66;202,99;2.533,33;;
